id_parroquia,parroquia,id_zona,codigo,zona
ad9bf350-e51b-4562-acb9-b383933d55fb,ABDON CALDERON / LA UNION,null,null,null
beb1efa4-2048-438e-b5da-ddd57d9b52f9,AMALUZA,853dcd70-fc01-4610-abd5-de5627ef8dc2,1,AMALUZA
beb1efa4-2048-438e-b5da-ddd57d9b52f9,AMALUZA,2b0f771a-4dc8-47b3-9a05-d02e09df1d68,2,SANTA RITA
e7a47077-8d21-43cb-bc6f-494792226a9c,ASUNCION,e2858a7f-b7c8-4ae9-ac1a-04193f873baf,1,LA ASUNCION
e7a47077-8d21-43cb-bc6f-494792226a9c,ASUNCION,cc9b9e1d-8b68-48ef-b2bd-9a9565ad8351,2,LENTAG
a0a228e0-cc44-499e-91f6-b02135b0fd5b,BAÑOS,93306471-6ba3-48d2-a3d4-c05180855483,1,BAÑOS
a0a228e0-cc44-499e-91f6-b02135b0fd5b,BAÑOS,487dc5f0-ece9-488a-a5a1-e0ccdce82e11,2,COCHAPAMBA
c9851b8a-7fca-4847-896d-3ceb2fee5e01,BELLAVISTA,null,null,null
9761d962-c508-40bb-b5af-416e4b39567c,BULAN / J. VICTOR IZQUIERDO,null,null,null
8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,CAMILO PONCE ENRIQUEZ,9560da14-e39d-48e5-9291-2c6d26543c11,1,CAMILO PONCE ENRIQUEZ
8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,CAMILO PONCE ENRIQUEZ,d3a165e0-5b84-4b03-9ca0-8a5c86ca97a3,2,ZHUMIRAL
8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,CAMILO PONCE ENRIQUEZ,c32b4bb4-7bc3-4f88-a58c-fb05f42d94cc,3,SAN ALFONSO
8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,CAMILO PONCE ENRIQUEZ,6e0a2a30-f64d-4160-b94b-dff26da2f269,4,SANTA MARTHA
8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,CAMILO PONCE ENRIQUEZ,148c7347-558e-47e8-9267-05be2e40ae3f,5,BELLA RICA
8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,CAMILO PONCE ENRIQUEZ,d88b1cf0-85f7-410d-8e6a-9ab2695a0f28,6,SAN GERARDO
3ab44673-5fe5-41cc-b27f-24529339e642,CAÑARIBAMBA,null,null,null
1994d473-ea2c-419f-bd06-373ac353fdad,CHAUCHA / ANGAS,eaf350b6-72c4-4c6f-952c-b9fcd5065e94,1,CHAUCHA /ANGAS
1994d473-ea2c-419f-bd06-373ac353fdad,CHAUCHA / ANGAS,c9cdc26d-0c19-4165-8308-7297775ef836,2,SAN ANTONIO
1994d473-ea2c-419f-bd06-373ac353fdad,CHAUCHA / ANGAS,f4304d36-6b98-492f-a5b9-8e0d3f27f108,3,CEDRO
1994d473-ea2c-419f-bd06-373ac353fdad,CHAUCHA / ANGAS,5d44fdd6-e5e4-4095-8d83-453e40285854,4,CASCAJO
91b969e3-2076-4501-81ea-0ea752e535c2,CHECA JIDCAY,null,null,null
06ee0a63-5ffe-4472-ad3e-3ced0ab9d247,CHICAN / GUILLERMO ORTEGA,e49d7e1d-2590-4b09-9f53-ea4e718dc53b,1,CHICAN /G. ORTEGA
06ee0a63-5ffe-4472-ad3e-3ced0ab9d247,CHICAN / GUILLERMO ORTEGA,88d46d4e-b9d6-47ac-8a7c-eac65e548dcc,2,UZHUPUD
54df039c-18e4-4860-965a-081a041e5889,CHIQUINTAD,null,null,null
fd4de7c4-a338-46b2-86bd-6ba53cff3728,CHORDELEG,null,null,null
06d6b1da-3ac6-4db3-9f22-8f2051079192,CHUMBLIN,null,null,null
15b871d1-49e6-4291-917d-051c7a60e613,COCHAPATA,ad28c772-7fdc-49a4-bc02-3476923df9cc,1,COCHAPATA
15b871d1-49e6-4291-917d-051c7a60e613,COCHAPATA,3e4164d1-68f7-49d8-b371-0ffa6e9a96a2,2,ÑAMARIN
e0a9f0d1-0682-43bb-94d4-20e6c249132d,CUMBE,null,null,null
94ce8309-3e58-4718-b4b9-86d468864043,CUTCHIL,null,null,null
e418bbe4-821d-4c0c-ac94-a422b8717fb3,DANIEL CORDOVA TORAL,null,null,null
2340d1ae-5312-480f-86d5-2fa2178440e2,DUG-DUG,cd007379-0d52-4632-953a-1aa3fdf92c20,1,DUG - DUG
2340d1ae-5312-480f-86d5-2fa2178440e2,DUG-DUG,b632f5fa-462e-464c-b809-22ecfb3bbf84,2,LAZUL
a2d24426-6d01-4481-858e-7a882936b37a,EL BATAN,null,null,null
3f2ce4c4-c4d1-42d8-a744-56d6d83691cf,EL CABO,null,null,null
fc800d3f-910c-4a35-baf1-9a66da139fa1,EL CARMEN DE PIJILI,null,null,null
058c1377-33fe-4fe2-99c4-16fc2a2ac2d7,EL PAN,null,null,null
8af49ea5-d694-40e0-8572-b3cd0297e650,EL PROGRESO,null,null,null
6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,EL VECINO,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,1,EL VECINO
6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,EL VECINO,8d15b104-4ee4-4513-afd2-591d400282b4,2,MIRAFLORES
6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,EL VECINO,cbd55a38-f0b1-4805-85ce-1c248b5d8014,3,LA CATÓLICA
648f3077-0d3d-4fe5-a406-fefb5c4e003a,GIMA,null,null,null
c274fe87-9721-4424-bdd5-71ea82ca27a7,GIRON,null,null,null
5b6e1607-55ac-4cc6-83a3-dbeb612aacac,GUACHAPALA,98451d50-d5a9-4870-8ddd-926d95447a7c,1,GUACHAPALA
5b6e1607-55ac-4cc6-83a3-dbeb612aacac,GUACHAPALA,fc35355f-5eff-4939-923f-47ad77c48b59,2,SACRE
73ca808e-f1f8-40ac-98aa-786c7edcdaba,GUALACEO,e1dad4b8-44db-4e96-8dbd-9ef4f2d17870,1,GUALACEO
73ca808e-f1f8-40ac-98aa-786c7edcdaba,GUALACEO,3b1e0a55-df46-4a5e-be22-297d813c067f,2,BULLCAY
1df806cc-dbaf-4dc4-8c2e-11231e699c3e,GUARAINAC,7f2b4d34-74e9-4b14-b550-d2b028f545f4,1,GUARAINAC
1df806cc-dbaf-4dc4-8c2e-11231e699c3e,GUARAINAC,62b94922-7cb9-4161-8f5d-b0b28326df0e,2,JUNTAS
1e10a801-583d-4107-b396-07f0d8e58a7a,GUEL,null,null,null
fb2953ef-d754-4274-864e-b8e39c225d20,HERMANO MIGUEL,d151b48c-dd86-45c3-b5e5-feff9221ec16,1,HERMANO MIGUEL
fb2953ef-d754-4274-864e-b8e39c225d20,HERMANO MIGUEL,686a4c64-37c8-4202-8063-1bfc2d8f25b5,2,UNCOVIA
fb2953ef-d754-4274-864e-b8e39c225d20,HERMANO MIGUEL,686f2d82-724a-478b-a760-0f9bb2fd8eaf,3,EL PROGRESO
01b7185e-46dc-40cd-995a-4844e1bd5fa7,HUAYNACAPAC,null,null,null
54fd1d43-a73b-4049-bcd3-7c32f654bb8b,JADAN,9ae3e0cc-4953-40b4-a32a-00e7fd7678bf,1,JADAN
54fd1d43-a73b-4049-bcd3-7c32f654bb8b,JADAN,dc501905-edef-41db-b921-1f37752cf30a,2,SANTA ROSA DE CHICHIN
54fd1d43-a73b-4049-bcd3-7c32f654bb8b,JADAN,052e6297-3e99-4943-b66c-47f75060e969,3,EL CARMEN
580a9685-ef9b-4cde-8700-888c90032d0c,LA UNION,null,null,null
