NOMBRE CANTON,NOMBRE PARROQUIA,CODIGO ZONA,NOMBRE ZONA,NOMBRE RECINTO,JUN FEM,JUN MAS,NUM JUNR,JUN INIF,JUN FINF,JUN INIM,JUN FINM
CUENCA,EL BATAN,0,,UNIDAD EDUCATIVA MIGUEL MORENO ORDOÑEZ,6,6,12,11,16,11,16
CUENCA,EL BATAN,0,,COLISEO MAYOR JEFFERSON PEREZ,5,5,10,1,5,1,5
CUENCA,EL BATAN,0,,ESCUELA DE EDUCACION BASICA VICTOR MANUEL ALBORNOZ,6,5,11,17,22,17,21
CUENCA,EL VECINO,1,EL VECINO,UNIDAD EDUCATIVA DEL MILENIO MANUEL J CALLE/ COLEGIO MANUEL J CALLE,7,7,14,1,7,1,7
CUENCA,EL VECINO,1,EL VECINO,UNIDAD EDUCATIVA JUAN MONTALVO,5,5,10,36,40,36,40
CUENCA,EL VECINO,1,EL VECINO,UNIVERSIDAD POLITECNICA SALESIANA-EDIFICIO MARIO RIZZINI,5,5,10,19,23,19,23
CUENCA,EL VECINO,1,EL VECINO,UNIDAD EDUCATIVA FRANCISCA DAVILA DE MUÑOZ,6,6,12,41,46,41,46
CUENCA,EL VECINO,1,EL VECINO,UNIDAD EDUCATIVA ZOILA ESPERANZA PALACIOS/ESCUELA ESPAÑA,6,6,12,13,18,13,18
CUENCA,EL VECINO,1,EL VECINO,UNIVERSIDAD POLITECNICA- EDIFICIO GUILLERMO MENSI,7,7,14,29,35,29,35
CUENCA,EL VECINO,1,EL VECINO,ESCUELA DE EDUCACION BASICA REPUBLICA DE CHILE,5,5,10,47,51,47,51
CUENCA,EL VECINO,1,EL VECINO,ESCUELA DE EDUCACION BASICA MARY CORYLE,5,0,5,52,56,0,0
CUENCA,EL VECINO,1,EL VECINO,UNIDAD EDUCATIVA MANUEL J CALLE - COLISEO,5,5,10,8,12,8,12
CUENCA,EL VECINO,1,EL VECINO,UNIVERSIDAD POLITECNICA DE CUENCA- COLISEO,5,5,10,24,28,24,28
CUENCA,EL VECINO,3,LA CATÓLICA,UNIDAD EDUCATIVA LUIS ROBERTO BRAVO,1,1,2,1,1,1,1
CUENCA,EL VECINO,2,MIRAFLORES,UNIDAD EDUCATIVA LUIS MONSALVE POZO,2,1,3,1,2,1,1
CUENCA,HERMANO MIGUEL,3,EL PROGRESO,UNIDAD EDUCATIVA CARLOS RIGOBERTO VINTIMILLA,1,1,2,1,1,1,1
CUENCA,HERMANO MIGUEL,2,UNCOVIA,UNIDAD EDUCATIVA PARTICULAR PIO 12,2,2,4,1,2,1,2
CUENCA,HERMANO MIGUEL,1,HERMANO MIGUEL,UNIDAD EDUCATIVA ISABEL MOSCOSO DAVILA/ESCUELA ISABEL MOSCOSO,9,9,18,1,9,1,9
CUENCA,HERMANO MIGUEL,1,HERMANO MIGUEL,ESCUELA DE EDUCACION BASICA HECTOR SEMPERTEGUI GARCIA,5,4,9,10,14,10,13
CUENCA,HUAYNACAPAC,0,,UNIDAD EDUCATIVA FE Y ALEGRIA,6,6,12,13,18,13,18
CUENCA,HUAYNACAPAC,0,,ESCUELA DE EDUCACION GENERAL BASICA GABRIELA  MISTRAL ,5,5,10,8,12,8,12
CUENCA,HUAYNACAPAC,0,,UNIDAD EDUCATIVA PARTICULAR HERMANO MIGUEL DE LA SALLE ,7,7,14,1,7,1,7
CUENCA,HUAYNACAPAC,0,,UNIVERSIDAD DEL AZUAY,8,4,12,19,26,19,22
CUENCA,LLACAO,0,,ESCUELA DE EDUCACION BASICA GONZALO S. CORDOVA,6,6,12,1,6,1,6
CUENCA,MACHANGARA,1,MACHÁNGARA,UNIDAD EDUCATIVA CAZADORES DE LOS RIOS ,7,7,14,1,7,1,7
CUENCA,MACHANGARA,1,MACHÁNGARA,UNIDAD EDUCATIVA PARTICULAR KENNEDY,6,5,11,8,13,8,12
CUENCA,MACHANGARA,4,OCHOA LEON,CASA COMUNAL OCHOA LEON,1,1,2,1,1,1,1
CUENCA,MACHANGARA,5,QUINTA CHICA,UNIDAD EDUCATIVA MARIO RIZINI,2,1,3,1,2,1,1
CUENCA,MACHANGARA,2,CAPULISPAMBA,UNIDAD EDUCATIVA ENRIQUE MALO ANDRADE,1,1,2,1,1,1,1
CUENCA,MACHANGARA,3,CHALLUABAMBA MACHANGARA,BAMBOO LACROSS SCHOOL,2,2,4,1,2,1,2
CUENCA,MOLLETURO,5,TAMARINDO,ESCUELA DE EDUCACION BASICA 15 DE AGOSTO,1,1,2,1,1,1,1
CUENCA,MOLLETURO,1,MOLLETURO,UNIDAD EDUCATIVA MOLLETURO/ COLEGIO Y ESCUELA JUAN LEON MERA,6,5,11,1,6,1,5
CUENCA,MOLLETURO,10,CAYMATAN,ESCUELA DE EDUCACION BASICA 6 DE ENERO,1,1,2,1,1,1,1
CUENCA,MOLLETURO,3,ZHAGAL,UNIDAD EDUCATIVA LUZ Y GUIA/ESCUELA 1 DE MAYO,1,1,2,1,1,1,1
CUENCA,MOLLETURO,6,AGUAS CALIENTES,ESCUELA DE EDUCACION BASICA SANTA ANA DE LOS RIOS,1,1,2,1,1,1,1
CUENCA,MOLLETURO,7,ESTERO PIEDRA,UNIDAD EDUCATIVA ESTERO PIEDRA,1,1,2,1,1,1,1
CUENCA,MOLLETURO,8,ABDON CALDERÓN,UNIDAD EDUCATIVA ABDON CALDERON/ESCUELA FISCAL MIXTA PRIMERO DE ENERO,1,1,2,1,1,1,1
CUENCA,MOLLETURO,9,FLOR Y SELVA,UNIDAD EDUCATIVA JOSE ISACC GALARZA CARPIO,1,1,2,1,1,1,1
CUENCA,MOLLETURO,2,JESUS DEL GRAN PODER,UNIDAD EDUCATIVA JESÚS DEL GRAN PODER,1,1,2,1,1,1,1
CUENCA,MOLLETURO,4,SAN JOSE DE RECREO,ESCUELA DE EDUCACION BASICA 19 DE MARZO,1,1,2,1,1,1,1
CUENCA,MONAY,0,,UNIDAD EDUCATIVA DEL MILENIO MANUELA GARAICOA DE CALDERON AULAS COLEGIO,9,9,18,1,9,1,9
CUENCA,MONAY,0,,UNIDAD EDUCATIVA MANUELA GARAICOA DE CALDERON-EDIFICIO ADMINISTRATIVO ESCUELA,4,4,8,14,17,14,17
CUENCA,MONAY,0,,UNIDAD EDUCATIVA PARTICULAR COREL,5,2,7,18,22,18,19
CUENCA,MONAY,0,,UNIDAD EDUCATIVA DEL MILENIO GARAICOA- COLISEO,4,4,8,10,13,10,13
CUENCA,MULTI /  NULTI,1,MULTI /  NULTI,UNIDAD EDUCATIVA NULTI- ESCUELA MANUEL RAMON BALAREZO,7,7,14,1,7,1,7
CUENCA,MULTI /  NULTI,2,CHALLUABAMBA NULTI,UNIDAD EDUCATIVA FRANCISCO EUGENIO TAMARIZ,2,2,4,1,2,1,2
CUENCA,OCTAVIO CORDERO PALACIOS,0,,UNIDAD EDUCATIVA SANTA ROSA/ESCUELA EZEQUIEL MARQUEZ,4,3,7,1,4,1,3
CUENCA,PACCHA,0,,UNIDAD EDUCATIVA PACCHA- ESCUELA FISCAL MIXTA MANUEL CORONEL,8,6,14,1,8,1,6
CUENCA,QUINGEO,2,MONJAS,UNIDAD EDUCATIVA  MONSEÑOR LEONIDAS PROAÑO II,1,1,2,1,1,1,1
CUENCA,QUINGEO,1,QUINGEO,UNIDAD EDUCATIVA DEL MILENIO QUINGEO,9,7,16,1,9,1,7
CUENCA,QUINGEO,3,PIRICOCHA,UNIDAD EDUCATIVA AMADEO MALDONADO VAZQUEZ,1,1,2,1,1,1,1
CUENCA,RAMIREZ DAVALOS,0,,UNIDAD EDUCATIVA SANTA MARIANITA DE JESUS,5,5,10,1,5,1,5
CUENCA,RAMIREZ DAVALOS,0,,UNIDAD EDUCATIVA OCTAVIO CORDERO PALACIOS/COLEGIO OCTAVIO CORDERO,5,1,6,11,15,11,11
CUENCA,RAMIREZ DAVALOS,0,,UNIDAD EDUCATIVA PARTICULAR DOMINICANA SAN LUIS BELTRAN,5,5,10,6,10,6,10
CUENCA,RAMIREZ DAVALOS,0,,UNIDAD EDUCATIVA FISCOMISIONAL DANIEL HERMIDA,2,2,4,16,17,12,13
CUENCA,RICAURTE,1,RICAURTE,ESCUELA DE EDUCACIÓN BÁSICA ISAAC A. CHICO,9,9,18,8,16,8,16
CUENCA,RICAURTE,1,RICAURTE,ESCUELA EDUCACION GENERAL BASICA ESTADOS UNIDOS DE NORTEAMERICA,7,7,14,1,7,1,7
CUENCA,RICAURTE,1,RICAURTE,UNIDAD EDUCATIVA PARTICULAR SUDAMERICANO,12,9,21,17,28,17,25
CUENCA,RICAURTE,2,LA DOLOROSA,ESCUELA DE EDUCACION BASICA MANUEL MARIA PALACIO BRAVO,1,1,2,1,1,1,1
CUENCA,SAGRARIO,0,,UNIDAD EDUCATIVA SALESIANAS MARIA AUXILIADORA,10,10,20,6,15,6,15
CUENCA,SAGRARIO,0,,UNIDAD EDUCATIVA DOLORES J. TORRES,5,5,10,1,5,1,5
CUENCA,SAGRARIO,0,,UNIDAD EDUCATIVA LUISA DE JESUS CORDERO,10,10,20,16,25,16,25
CUENCA,SAGRARIO,0,,UNIDAD EDUCATIVA PARTICULAR MISIONEROS OBLATOS-INGRESO CALLE BORRERO,6,3,9,26,31,26,28
CUENCA,SAN BLAS,0,,ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES,6,6,12,17,22,17,22
CUENCA,SAN BLAS,0,,ESCUELA DE EDUCACION BASICA FISCOMISIONAL SOR TERESA VALSE ,7,7,14,1,7,1,7
CUENCA,SAN BLAS,0,,ESCUELA DE EDUCACION BASICA LUIS CORDERO CRESPO,9,9,18,8,16,8,16
CUENCA,SAN BLAS,0,,UNIDAD EDUCATIVA PARTICULAR CORAZON DE MARIA,3,3,6,23,25,23,25
CUENCA,SAN BLAS,0,,UNIVERSIDAD CATOLICA DE CUENCA- UNIDAD ACADEMICA DE CIENCIAS SOCIALES,6,1,7,26,31,26,26
CUENCA,SAN JOAQUIN,1,SAN JOAQUIN,UNIDAD EDUCATIVA SAN JOAQUIN/ESCUELA RAFAEL MARIA ARIZAGA,7,7,14,1,7,1,7
CUENCA,SAN JOAQUIN,1,SAN JOAQUIN,ESCUELA DE EDUCACION BASICA GENERAL ANTONIO FARFAN,6,5,11,8,13,8,12
CUENCA,SAN JOAQUIN,2,BARABON,UNIDAD EDUCATIVA EDUARDO CRESPO MALO/ESCUELA DE EDUCACION BASICA EDUARDO CRESPO MALO,1,1,2,1,1,1,1
CUENCA,SAN SEBASTIAN,1,SAN SEBASTIAN,UNIDAD EDUCATIVA ECUADOR,10,10,20,11,20,11,20
CUENCA,SAN SEBASTIAN,1,SAN SEBASTIAN,UNIDAD EDUCATIVA SAGRADOS CORAZONES,10,10,20,1,10,1,10
CUENCA,SAN SEBASTIAN,1,SAN SEBASTIAN,COLEGIO DE BACHILLERATO CIUDAD DE CUENCA,8,8,16,31,38,31,38
CUENCA,SAN SEBASTIAN,1,SAN SEBASTIAN,UNIDAD EDUCATIVA VICTOR GERARDO AGUILAR/ESCUELA REMIGIO CRESPO,10,10,20,21,30,21,30
CUENCA,SAN SEBASTIAN,1,SAN SEBASTIAN,ESCUELA DE EDUCACION BASICA ULISES CHACON,4,4,8,39,42,39,42
CUENCA,SAN SEBASTIAN,1,SAN SEBASTIAN,UNIDAD EDUCATIVA LAS PENCAS,8,2,10,43,50,43,44
CUENCA,SAN SEBASTIAN,2,SAN PEDRO DEL CEBOLLAR,ESCUELA DE EDUCACION BASICA EMILIO MURILLO,2,2,4,1,2,1,2
CUENCA,SANTA ANA,0,,ESCUELA DE EDUCACION BASICA ALFONSO MARIA BORRERO,5,4,9,1,5,1,4
CUENCA,SANTA ANA,0,,UNIDAD EDUCATIVA DANIEL HERMIDA,4,3,7,6,9,5,7
CUENCA,SAYAUSI,1,SAYAUSI,UNIDAD EDUCATIVA DEL MILENIO UEM SAYAUSI,10,10,20,1,10,1,10
CUENCA,SAYAUSI,1,SAYAUSI,ESCUELA DE EDUCACION BASICA GENERAL JESUS VASQUEZ OCHOA,6,5,11,11,16,11,15
CUENCA,SAYAUSI,2,SAN MIGUEL,ESCUELA DE EDUCACION BASICA JOAQUIN MALO TAMARIZ,1,1,2,1,1,1,1
CUENCA,SAYAUSI,3,BELLAVISTA,CASA COMUNAL BELLAVISTA,1,1,2,1,1,1,1
CUENCA,SIDCAY,2,BIBIN,ESCUELA DE EDUCACION BASICA ROSARIO PRIETO DE FARFAN,1,1,2,1,1,1,1
CUENCA,SIDCAY,1,SIDCAY,ESCUELA DE EDUCACIÓN BASICA MIGUEL PRIETO,5,4,9,1,5,1,4
CUENCA,SIDCAY,3,ALTOS DE MACHANGARA,UNIDAD EDUCATIVA DORA BEATRIZ CANELOS,1,1,2,1,1,1,1
CUENCA,SININCAY,1,SININCAY,ESCUELA DE EDUCACION BASICA CAROLINA DE FEBRES CORDERO,4,4,8,6,9,6,9
CUENCA,SININCAY,1,SININCAY,UNIDAD EDUCATIVA SININCAY/ESCUELA JUAN DE DIOS CORRAL,5,5,10,1,5,1,5
CUENCA,SININCAY,1,SININCAY,ESCUELA DE EDUCACION BASICA ALEJANDRO PADILLA VASQUEZ,6,3,9,10,15,10,12
CUENCA,SININCAY,3,SAN JOSE DE BALZAY,UNIDAD EDUCATIVA REYNALDO CHICO GARCIA ,1,1,2,1,1,1,1
CUENCA,SININCAY,2,CRUCE DEL CARMEN,ESCUELA DE EDUCACIÓN GENERAL BASICA PADRE JUAN CARLO ,2,1,3,1,2,1,1
CUENCA,SUCRE,0,,UNIVERSIDAD DE CUENCA-FILOSOFIA,5,5,10,6,10,6,10
CUENCA,SUCRE,0,,UNIDAD EDUCATIVA REMIGIO ROMERO Y CORDERO,6,2,8,28,33,28,29
CUENCA,SUCRE,0,,UNIDAD EDUCATIVA ANTONIO AVILA MALDONADO/COLEGIO ANTONIO AVILA MALDONADO,6,6,12,16,21,16,21
CUENCA,SUCRE,0,,UNIDAD EDUCATIVA MIGUEL MERCHAN OCHOA,6,6,12,22,27,22,27
CUENCA,SUCRE,0,,UNIVERSIDAD DE CUENCA - FACULTAD DE PSICOLOGIA,5,5,10,11,15,11,15
CUENCA,SUCRE,0,,COLEGIO DE BACHILLERATO BENIGNO MALO/COLISEO,5,5,10,1,5,1,5
CUENCA,TARQUI,1,TARQUI,UNIDAD EDUCATIVA FAUSTO MOLINA,7,7,14,1,7,1,7
CUENCA,TARQUI,1,TARQUI,ESCUELA DE EDUCACION BASICA ALFONSO MORENO MORA,6,4,10,8,13,8,11
CUENCA,TARQUI,3,GULLANZHAPA,ESCUELA DE EDUCACION BASICA MIGUEL MOROCHO,1,1,2,1,1,1,1
CUENCA,TARQUI,2,TUTUPALI BAJO,ESCUELA DE EDUCACION BASICA JUAN CONTRERAS HURTADO,1,1,2,1,1,1,1
CUENCA,TOTORACOCHA,0,,UNIDAD EDUCATIVA HERLINDA TORAL COLISEO,4,4,8,1,4,1,4
CUENCA,TOTORACOCHA,0,,UNIDAD EDUCATIVA LA INMACULADA,5,5,10,18,22,18,22
CUENCA,TOTORACOCHA,0,,UNIDAD EDUCATIVA ABELARDO TAMARIZ CRESPO,5,5,10,13,17,13,17
CUENCA,TOTORACOCHA,0,,UNIDAD EDUCATIVA HERLINDA TORAL MALO AULAS,8,8,16,5,12,5,12
CUENCA,TOTORACOCHA,0,,UNIDAD EDUCATIVA FISCAL RICARDO MUÑOZ CHAVEZ,8,3,11,28,35,28,30
CUENCA,TOTORACOCHA,0,,COLISEO POLIDEPORTIVO TOTORACOCHA,5,5,10,23,27,23,27
CUENCA,TURI,0,,UNIDAD EDUCATIVA TURI,6,6,12,1,6,1,6
CUENCA,TURI,0,,ESCUELA DE EDUCACION BASICA JOSE RAFAEL ARIZAGA,5,3,8,7,11,7,9
CUENCA,VALLE,2,CHILCAPAMBA,ESCUELA DE EDUCACIÓN BASICA ELOY ALFARO / ESCUELA ELOY ALFARO,2,2,4,1,2,1,2
CUENCA,VALLE,4,SAN ANTONIO DE MALUAY,ESCUELA DE EDUCACION BASICA NICOLAS SOJOS JARAMILLO,1,1,2,1,1,1,1
CUENCA,VALLE,1,VALLE,ESCUELA DE EDUCACION BASICA MANUEL GUERRERO,8,8,16,8,15,8,15
CUENCA,VALLE,1,VALLE,UNIDAD EDUCATIVA GUILLERMO MENSI,7,7,14,1,7,1,7
CUENCA,VALLE,1,VALLE,ESCUELA DE EDUCACION BASICA JOSE TOMAS RENDON SOLANO,9,6,15,16,24,16,21
CUENCA,VALLE,3,GUALALCAY,ESCUELA DE EDUCACIÓN  BÁSICA RAMÓN BORRERO,1,1,2,1,1,1,1
CUENCA,VICTORIA DEL PORTETE,0,,UNIDAD EDUCATIVA DEL MILENIO VICTORIA DEL PORTETE,7,6,13,1,7,1,6
CUENCA,YANUNCAY,1,YANUNCAY,ESCUELA DE EDUCACIÓN BÁSICA NICOLÁS SOJOS,5,5,10,11,15,11,15
CUENCA,YANUNCAY,1,YANUNCAY,UNIDAD EDUCATIVA FISCOMISIONAL TÉCNICO SALESIANO/INSTITUTO TECNICO SUPERIOR SALESIANO,10,10,20,1,10,1,10
CUENCA,YANUNCAY,1,YANUNCAY,ESCUELA BASICA JOSE MARIA VELASCO IBARRA,4,4,8,16,19,16,19
CUENCA,YANUNCAY,1,YANUNCAY,ESCUELA DE EDUCACION BASICA IGNACIO ESCANDON,5,5,10,26,30,26,30
CUENCA,YANUNCAY,1,YANUNCAY,ESCUELA DE EDUCACION BASICA FRANCISCA ARIZAGA TORAL.,6,6,12,20,25,20,25
CUENCA,YANUNCAY,1,YANUNCAY,UNIDAD EDUCATIVA FRAY VICENTE SOLANO,5,5,10,31,35,31,35
CUENCA,YANUNCAY,1,YANUNCAY,UNIDAD EDUCATIVA OTTO AROCEMENA GOMEZ,7,1,8,36,42,36,36
CUENCA,YANUNCAY,2,MISICATA,UNIDAD DEL MILENIO FEBRES CORDERO,2,2,4,1,2,1,2
CUENCA,YANUNCAY,3,CDLA SIMON BOLIVAR,UNIDAD EDUCATIVA CIUDAD DE CUENCA,2,2,4,1,2,1,2
EL PAN,EL PAN,0,,UNIDAD EDUCATIVA EL PAN/COLEGIO NACIONAL TECNICO EL PAN,3,2,5,1,3,1,2
EL PAN,SAN VICENTE,2,LA MERCED,ESCUELA DE EDUCACION BASICA ALFONSO MALO RODRIGUEZ,1,1,2,1,1,1,1
EL PAN,SAN VICENTE,1,SAN VICENTE,ESCUELA DE EDUACION BASICA JOSE DOMINGO LAMAR,2,1,3,1,2,1,1
EL PAN,SAN VICENTE,3,SANTA TERESITA,CASA COMUNAL,1,1,2,1,1,1,1
GIRON,ASUNCION,1,LA ASUNCION,UNIDAD EDUCATIVA REMIGIO CRESPO TORAL / COLEGIO REMIGIO CRESPO TORAL,3,3,6,1,3,1,3
GIRON,ASUNCION,2,LENTAG,UNIDAD EDUCATIVA BENIGNO JARA,1,1,2,1,1,1,1
GIRON,GIRON,0,,UNIDAD EDUCATIVA CIUDAD DE GIRON/COLEGIO CIUDAD DE GIRON,3,3,6,6,8,6,8
GIRON,GIRON,0,,ESCUELA EDUCACION BASICA 27 DE FEBRERO,5,5,10,1,5,1,5
GIRON,GIRON,0,,UNIDAD EDUCATIVA ALEJANDRO ANDRADE CORDERO,5,4,9,9,13,9,12
GIRON,SAN GERARDO,0,,ESCUELA DE EDUCACION BASICA AGUSTIN CRESPO HEREDIA,1,1,2,1,1,1,1
GUACHAPALA,GUACHAPALA,2,SACRE,CASA COMUNAL DE SACRE/UNIDAD EDUCATIVA FELIPE SERRANO,1,1,2,1,1,1,1
GUACHAPALA,GUACHAPALA,1,GUACHAPALA,UNIDAD EDUCATIVA GUACHAPALA/ COLEGIO TECNICO GUACHAPALA,5,4,9,1,5,1,4
