NOMBRE CANTON,NOMBRE PARROQUIA,CODIGO ZONA,NOMBRE ZONA,NOMBRE RECINTO,JUN FEM,JUN MAS,NUM JUNR,JUN INIF,JUN FINF,JUN INIM,JUN FINM
GUALACEO,LUIS CORDERO VEGA,0,,ESCUELA DE EDUCACION BASICA REMIGIO ASTUDILLO,1,1,2,1,1,1,1
GUALACEO,MARIANO MORENO/CALLASAY,1,MARIANO MORENO/CALLASAY,UNIDAD EDUCATIVA RIO TOMEBAMBA/COLEGIO NACIONAL RIO TOMEBAMBA,3,2,5,1,3,1,2
GUALACEO,MARIANO MORENO/CALLASAY,2,CERTAG,CASA COMUNAL DE CERTAG ,1,1,2,1,1,1,1
GUALACEO,REMIGIO CRESPO TORAL,0,,ESCUELA DE EDUCACION BASICA CLUB DE LEONES DE VIRGINIA,1,1,2,1,1,1,1
GUALACEO,SAN JUAN,0,,UNIDAD EDUCATIVA NICANOR AGUILAR MALDONADO,6,4,10,1,6,1,4
GUALACEO,SIMON BOLIVAR,0,,ESCUELA DE EDUCACION BASICA EMILIO MOSCOSO,1,1,2,1,1,1,1
GUALACEO,ZHIDMAD,1,ZHIDMAD,UNIDAD EDUCATIVA ZHIDMAD / ESCUELA DE EDUCACIÓN BÁSICA TOMÁS ORDÓÑEZ,4,3,7,1,4,1,3
GUALACEO,ZHIDMAD,2,SAN JOSE DE LALCOTE,ESCUELA DE EDUCACION BASICA JOSE MARIA LOPEZ,1,1,2,1,1,1,1
NABON,COCHAPATA,1,COCHAPATA,UNIDAD EDUCATIVA LEON VIVAR/ESCUELA DE EDUCACION BASICA ANDRES BELTRAN,3,3,6,1,3,1,3
NABON,COCHAPATA,2,ÑAMARIN,ESCUELA DE EDUCACION BASICA MANUEL ULPIANO ARIZAGA ,1,1,2,1,1,1,1
NABON,EL PROGRESO,0,,UNIDAD EDUCATIVA EL PROGRESO\ENRIQUE ARIZAGA TORAL,2,2,4,1,2,1,2
NABON,NABON,1,NABON,UNIDAD EDUCATIVA NABON/ ESCUELA DE EDUCACIÓN BÁSICA AGUSTÍN J PERALTA,7,7,14,1,7,1,7
NABON,NABON,1,NABON,UNIDAD EDUCATIVA NABON,5,3,8,8,12,8,10
NABON,NABON,4,CHUNASANA,UNIDAD EDUCATIVA BALTAZAR AGUIRRE,1,1,2,1,1,1,1
NABON,NABON,2,ZHIÑA,UNIDAD EDUCATIVA FRANCISCO CHICO PACHECO,1,1,2,1,1,1,1
NABON,NABON,3,RAÑAS,UNIDAD EDUCATIVA COMUNUTARIA INTERCULTURAL BILINGUE /ESCUELA DE EDUCACION INTERCULTURAL BILINGUE BÁSICA CESAR AGUSTIN MOROCHO,1,1,2,1,1,1,1
NABON,NIEVES,1,LAS NIEVES,ESCUELA DE EDUCACION BASICA JUAN BAUTISTA DÁVILA,1,1,2,1,1,1,1
NABON,NIEVES,2,LA PAZ,UNIDAD EDUCATIVA LA PAZ,1,1,2,1,1,1,1
OÑA,OÑA,2,MORAS LOMA,ESCUELA DE EDUCACIÓN BÁSICA EMILIO AREVALO,1,1,2,1,1,1,1
OÑA,OÑA,1,OÑA,UNIDAD EDUCATIVA OÑA/ COLEGIO NACIONAL OÑA,4,4,8,1,4,1,4
OÑA,SUSUDEL,0,,UNIDAD EDUCATIVA SUSUDEL/COLEGIO NACIONAL SUSUDEL,2,1,3,1,2,1,1
PAUTE,BULAN / J. VICTOR IZQUIERDO,0,,ESCUELA DE EDUCACION BASICA HONORATO LOYOLA,2,2,4,1,2,1,2
PAUTE,CHICAN / GUILLERMO ORTEGA,2,UZHUPUD,ESCUELA DE EDUCACION BASICA MODESTO VINTIMILLA,1,1,2,1,1,1,1
PAUTE,CHICAN / GUILLERMO ORTEGA,1,CHICAN /G. ORTEGA,UNIDAD EDUCATIVA MANUEL J CALLE,3,2,5,1,3,1,2
PAUTE,DUG-DUG,2,LAZUL,CASA COMUNAL LAZUL,1,1,2,1,1,1,1
PAUTE,DUG-DUG,1,DUG - DUG,ESCUELA DE EDUCACION BASICA  JOSE DE LA VEGA,2,1,3,1,2,1,1
PAUTE,EL CABO,0,,UNIDAD EDUCATIVA  ATENAS DEL ECUADOR/ESCUELA ANTONIO VEGA MUNOZ,3,2,5,1,3,1,2
PAUTE,GUARAINAC,1,GUARAINAC,UNIDAD EDUCATIVA SAN PABLO DE GUARAINAC/COLEGIO LUIS VEGA GARIDO,1,1,2,1,1,1,1
PAUTE,GUARAINAC,2,JUNTAS,CASA COMUNAL DE JUNTAS ,1,1,2,1,1,1,1
PAUTE,PAUTE,2,VILLAFLOR,ESCUELA DE EDUCACIÓN BÁSICA CORNELIO MOSQUERA LOPEZ,1,1,2,1,1,1,1
PAUTE,PAUTE,3,ZHUMIR,ESCUELA DE EDUCACION BASICA FRANCISCO  ALVARADO COBOS,1,1,2,1,1,1,1
PAUTE,PAUTE,1,PAUTE,UNIDAD EDUCATIVA 26 DE FEBRERO / ESCUELA SIMÓN BOLIVAR,7,7,14,6,12,6,12
PAUTE,PAUTE,1,PAUTE,ESCUELA DE EDUCACIÓN BÁSICA ISIDRO AYORA,5,5,10,1,5,1,5
PAUTE,PAUTE,1,PAUTE,UNIDAD EDUCATIVA CIUDAD DE PAUTE,9,6,15,13,21,13,18
PAUTE,SAN CRISTOBAL,1,SAN CRISTOBAL,UNIDAD EDUCATIVA PIO BRAVO / ESCUELA DE EDUCACIÓN BÁSICA PIO BRAVO,3,2,5,1,3,1,2
PAUTE,SAN CRISTOBAL,2,GUACHUN,ESCUELA DE EDUCACIÓN BÁSICA ALBERTO MARÍA ANDRADE,1,1,2,1,1,1,1
PAUTE,TOMEBAMBA,0,,ESCUELA DE EDUCACION BASICA ANTONIO MORALES ,2,2,4,1,2,1,2
PUCARA,PUCARA,5,PELINCAY,ESCUELA DE EDUCACION BASICA PELINCAY,1,1,2,1,1,1,1
PUCARA,PUCARA,8,LA DOLOROSA,UNIDAD EDUCATIVA FEDERICO GONZALEZ SUAREZ/ESCUELA DE EDUCACIÓN BÁSICA FEDERICO GONZALEZ SUAREZ,1,1,2,1,1,1,1
PUCARA,PUCARA,11,SAN ANTONIO DE ÑUGRO,ESCUELA DE EDUCACION BASICA ALBERTO DURAN CHICA,1,1,2,1,1,1,1
PUCARA,PUCARA,9,LAS PALMAS,ESCUELA DE EDUCACIÓN BÁSICA PROVINCIA DEL AZUAY,1,1,2,1,1,1,1
PUCARA,PUCARA,10,SANTA CECILIA,ESCUELA DE EDUCACIÓN BÁSICA RAMÓN MORALES VALDIVIESO,1,1,2,1,1,1,1
PUCARA,PUCARA,2,SARAYUNGA,UNIDAD EDUCATIVA SARAYUNGA,2,1,3,1,2,1,1
PUCARA,PUCARA,3,GRAMALOTE,ESCUELA DE EDUCACIÓN BÁSICA GRAMALOTE,1,1,2,1,1,1,1
PUCARA,PUCARA,1,PUCARA,UNIDAD EDUCATIVA PUCARA/ESCUELA JUAN DE VELASCO,7,7,14,1,7,1,7
PUCARA,PUCARA,7,CALIGUIÑA,ESCUELA DE EDUCACION BASICA DR. ALFREDO PEREZ GUERRERO,1,1,2,1,1,1,1
PUCARA,PUCARA,4,CERRO NEGRO,UNIDAD EDUCATIVA CORNELIO VELEZ,1,1,2,1,1,1,1
PUCARA,SAN RAFAEL DE SHARUG,2,GUARUMAL,ESCUELA DE EDUCACION BASICA GUARUMAL,1,1,2,1,1,1,1
PUCARA,SAN RAFAEL DE SHARUG,1,SAN RAFAEL DE SHARUG,UNIDAD EDUCATIVA SAN RAFAEL DE SHARUG / ESCUELA FAE,2,2,4,1,2,1,2
SAN FERNANDO,CHUMBLIN,0,,ESCUELA DE EDUCACION BASICA VICTOR ALVAREZ TORRES,1,1,2,1,1,1,1
SAN FERNANDO,SAN FERNANDO,0,,ESCUELA DE EDUCACION BASICA JUAN GIRON SANCHEZ,5,4,9,1,5,1,4
SANTA ISABEL,ABDON CALDERON / LA UNION,0,,UNIDAD EDUCATIVA JAIME ROLDOS AGUILERA/COLEGIO JAIME ROLDOS AGUILERA,4,4,8,1,4,1,4
SANTA ISABEL,SAN SALVADOR DE CAÑARIBAMBA,0,,ESCUELA DE EDUCACIÓN GENERAL BASICA EMILIANO HINOSTROZA,1,1,2,1,1,1,1
SANTA ISABEL,SANTA ISABEL,1,SANTA ISABEL,UNIDAD EDUCATIVA SANTA ISABEL/COLEGIO SANTA ISABEL,6,6,12,6,11,6,11
SANTA ISABEL,SANTA ISABEL,1,SANTA ISABEL,ESCUELA DE EDUCACIÓN BÁSICA FERNANDO DE ARAGÓN,5,5,10,1,5,1,5
SANTA ISABEL,SANTA ISABEL,1,SANTA ISABEL,ESCUELA DE EDUCACION BASICA VEINTE DE ENERO,4,4,8,12,15,12,15
SANTA ISABEL,SANTA ISABEL,1,SANTA ISABEL,UNIDAD EDUCATIVA LA IMACULADA,3,1,4,16,18,16,16
SANTA ISABEL,SANTA ISABEL,3,JUBONES,ESCUELA DE EDUCACION BASICA RAFAEL VINTIMILLA JARA,1,1,2,1,1,1,1
SANTA ISABEL,SHAGLLI,3,PUCULCAY,UNIDAD EDUCATIVA SAN ALFONSO DE PUCULCAY,1,1,2,1,1,1,1
SANTA ISABEL,SHAGLLI,2,HUERTAS,ESCUELA BENJAMÍN CARRIÓN,1,1,2,1,1,1,1
SANTA ISABEL,SHAGLLI,1,SHAGLLI,UNIDAD EDUCATIVA SAN PEDRO DE SHAGLLI/ESCUELA PEDRO UNDA,2,2,4,1,2,1,2
SEVILLA DE ORO,AMALUZA,2,SANTA RITA,CASA COMUNAL DE SANTA RITA/ESCUELA RAFAEL LARRIVA CUESTA,1,1,2,1,1,1,1
SEVILLA DE ORO,AMALUZA,1,AMALUZA,UNIDAD EDUCATIVA JUVENTINO VELEZ\ESCUELA JUVENTINO VELEZ,1,1,2,1,1,1,1
SEVILLA DE ORO,PALMAS,2,JURUPILLOS,ESCUELA DOLORES GOMEZ LEÓN,1,1,2,1,1,1,1
SEVILLA DE ORO,PALMAS,3,SANTA ROSA,CASA COMUNAL DE SANTA ROSA,1,1,2,1,1,1,1
SEVILLA DE ORO,PALMAS,1,PALMAS,UNIDAD EDUCATIVA LAS PALMAS / COLEGIO NACIONAL TÉCNICO LAS PALMAS,3,3,6,1,3,1,3
SEVILLA DE ORO,SEVILLA DE ORO,3,CHIMUL,ESCUELA DE EDUCACIÓN BASICA PADRE ALBINO DEL CURTO,1,1,2,1,1,1,1
SEVILLA DE ORO,SEVILLA DE ORO,2,CAIGUAS,CASA COMUNAL DE CAIGUAS/ESCUELA MAX  PALACIOS,1,1,2,1,1,1,1
SEVILLA DE ORO,SEVILLA DE ORO,1,SEVILLA DE ORO,UNIDAD EDUCATIVA SEVILLA DE ORO/COLEGIO ALFONSO MORENO MORA,3,3,6,1,3,1,3
SIGSIG,CUTCHIL,0,,ESCUELA DE EDUCACIÓN BÁSICA ERNESTO LOPEZ,2,2,4,1,2,1,2
SIGSIG,GIMA,0,,UNIDAD EDUCATIVA JIMA/ ESCUELA DE EDUCACION BASICA REMIGIO ESTEVEZ DE TORAL,5,4,9,1,5,1,4
SIGSIG,GUEL,0,,ESCUELA DE EDUCACION BASICA JOSE FELIX GONZALEZ,2,1,3,1,2,1,1
SIGSIG,LUDO,2,BUENA VISTA,ESCUELA DE EDUCACION BASICA LUIS BENIGNO TORRES,1,1,2,1,1,1,1
SIGSIG,LUDO,3,HATOBOLO,ESCUELA DE EDUCACION BASICA MANUEL J. SALCEDO,1,1,2,1,1,1,1
SIGSIG,LUDO,4,SERRAG,CASA COMUNAL DE SERRAG,1,1,2,1,1,1,1
SIGSIG,LUDO,1,LUDO,UNIDAD EDUCATIVA AGUSTIN IGLESIAS/ESCUELA AGUSTÍN IGLESIAS,4,3,7,1,4,1,3
SIGSIG,SAN BARTOLOME,3,SIGSIGLLANO,UNIDAD EDUCATIVA JUAN BAUTISTA VASQUEZ,1,1,2,1,1,1,1
SIGSIG,SAN BARTOLOME,2,LA LIBERTAD,CASA COMUNA  / EX ESCUELA DE EDUCACION BASICA EDMUNDO MALDONADO,1,1,2,1,1,1,1
SIGSIG,SAN BARTOLOME,1,SAN BARTOLOMÉ,UNIDAD EDUCATIVA SAN BARTOLOMÉ / ESCUELA MIGUEL MORENO,5,3,8,1,5,1,3
SIGSIG,SAN JOSE DE RARANGA,2,LA ESMERALDA,ESCUELA DE EDUCACIÓN BÁSICA 5 DE NOVIEMBRE,1,1,2,1,1,1,1
SIGSIG,SAN JOSE DE RARANGA,1,SAN JOSE DE RARANGA,UNIDAD EDUCATIVA SAN JOSE DE RARANGA / ESCUELA ISAAC MARIA PEÑA,3,2,5,1,3,1,2
SIGSIG,SIGSIG,2,PIRUNCAY,ESCUELA DE EDUCACIÓN BÁSICA CARMEN ADELA CARDENAS,1,1,2,1,1,1,1
SIGSIG,SIGSIG,1,SIGSIG,ESCUELA DE EDUCACIÓN BÁSICA DOMINGO SAVIO,5,5,10,1,5,1,5
SIGSIG,SIGSIG,1,SIGSIG,UNIDAD EDUCATIVA SIGSIG,7,7,14,6,12,6,12
SIGSIG,SIGSIG,1,SIGSIG,UNIDAD EDUCATIVA FISCOMISIONAL MARIA MAZZARELLO,5,1,6,13,17,13,13
