Nombre,Parroquia,Zona,M_Desde,M_Hasta,F_Desde,F_Hasta
ESCUELA DE EDUCACION  BASICA GENERAL GABRIEL ARSENIO ULLAURI,e0a9f0d1-0682-43bb-94d4-20e6c249132d,,6,7,6,9
ESCUELA DE EDUCACION BASICA 12 DE ABRIL,a2d24426-6d01-4481-858e-7a882936b37a,,6,10,6,10
UNIDAD EDUCATIVA MIGUEL MORENO ORDOÑEZ,a2d24426-6d01-4481-858e-7a882936b37a,,11,16,11,16
COLISEO MAYOR JEFFERSON PEREZ,a2d24426-6d01-4481-858e-7a882936b37a,,1,5,1,5
ESCUELA DE EDUCACION BASICA VICTOR MANUEL ALBORNOZ,a2d24426-6d01-4481-858e-7a882936b37a,,17,21,17,22
UNIDAD EDUCATIVA DEL MILENIO MANUEL J CALLE/ COLEGIO MANUEL J CALLE,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,1,7,1,7
UNIDAD EDUCATIVA JUAN MONTALVO,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,36,40,36,40
UNIVERSIDAD POLITECNICA SALESIANA-EDIFICIO MARIO RIZZINI,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,19,23,19,23
UNIDAD EDUCATIVA FRANCISCA DAVILA DE MUÑOZ,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,41,46,41,46
UNIDAD EDUCATIVA ZOILA ESPERANZA PALACIOS/ESCUELA ESPAÑA,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,13,18,13,18
UNIVERSIDAD POLITECNICA- EDIFICIO GUILLERMO MENSI,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,29,35,29,35
ESCUELA DE EDUCACION BASICA REPUBLICA DE CHILE,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,47,51,47,51
ESCUELA DE EDUCACION BASICA MARY CORYLE,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,,,52,56
UNIDAD EDUCATIVA MANUEL J CALLE - COLISEO,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,8,12,8,12
UNIVERSIDAD POLITECNICA DE CUENCA- COLISEO,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,d0f86c2d-4102-4ee3-b259-8daa5229c5f9,24,28,24,28
UNIDAD EDUCATIVA LUIS ROBERTO BRAVO,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,cbd55a38-f0b1-4805-85ce-1c248b5d8014,1,1,1,1
UNIDAD EDUCATIVA LUIS MONSALVE POZO,6e3d5f79-56b6-4d01-ade1-11d2fcc442e2,8d15b104-4ee4-4513-afd2-591d400282b4,1,1,1,2
UNIDAD EDUCATIVA CARLOS RIGOBERTO VINTIMILLA,fb2953ef-d754-4274-864e-b8e39c225d20,686f2d82-724a-478b-a760-0f9bb2fd8eaf,1,1,1,1
UNIDAD EDUCATIVA PARTICULAR PIO 12,fb2953ef-d754-4274-864e-b8e39c225d20,686a4c64-37c8-4202-8063-1bfc2d8f25b5,1,2,1,2
UNIDAD EDUCATIVA ISABEL MOSCOSO DAVILA/ESCUELA ISABEL MOSCOSO,fb2953ef-d754-4274-864e-b8e39c225d20,d151b48c-dd86-45c3-b5e5-feff9221ec16,1,9,1,9
ESCUELA DE EDUCACION BASICA HECTOR SEMPERTEGUI GARCIA,fb2953ef-d754-4274-864e-b8e39c225d20,d151b48c-dd86-45c3-b5e5-feff9221ec16,10,13,10,14
UNIDAD EDUCATIVA FE Y ALEGRIA,01b7185e-46dc-40cd-995a-4844e1bd5fa7,,13,18,13,18
ESCUELA DE EDUCACION GENERAL BASICA GABRIELA  MISTRAL,01b7185e-46dc-40cd-995a-4844e1bd5fa7,,8,12,8,12
UNIDAD EDUCATIVA PARTICULAR HERMANO MIGUEL DE LA SALLE,01b7185e-46dc-40cd-995a-4844e1bd5fa7,,1,7,1,7
UNIVERSIDAD DEL AZUAY,01b7185e-46dc-40cd-995a-4844e1bd5fa7,,19,22,19,26
ESCUELA DE EDUCACION BASICA GONZALO S. CORDOVA,1062c728-0946-4325-a107-2080ca551c9d,,1,6,1,6
UNIDAD EDUCATIVA CAZADORES DE LOS RIOS,9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,5c7a0221-2da5-4deb-beab-f51951fd1ae3,1,7,1,7
UNIDAD EDUCATIVA PARTICULAR KENNEDY,9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,5c7a0221-2da5-4deb-beab-f51951fd1ae3,8,12,8,13
CASA COMUNAL OCHOA LEON,9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,3db346f1-5f18-4da9-870f-0b595ca35863,1,1,1,1
UNIDAD EDUCATIVA MARIO RIZINI,9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,5cd07796-ebd8-4f75-b833-75b85bd08d3d,1,1,1,2
UNIDAD EDUCATIVA ENRIQUE MALO ANDRADE,9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,bbea7cdf-e4d9-4747-aad4-b9225adf7e5a,1,1,1,1
BAMBOO LACROSS SCHOOL,9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,a5eb9ff6-a5dd-4198-9776-716af0788a02,1,2,1,2
ESCUELA DE EDUCACION BASICA 15 DE AGOSTO,d0632951-c2bf-4a67-a037-5be23348a313,1d83eee8-38dd-47cc-87e8-33cee4164582,1,1,1,1
UNIDAD EDUCATIVA MOLLETURO/ COLEGIO Y ESCUELA JUAN LEON MERA,d0632951-c2bf-4a67-a037-5be23348a313,5b2ca73d-1fc9-4ee4-ab38-695ca2d11f8f,1,5,1,6
ESCUELA DE EDUCACION BASICA 6 DE ENERO,d0632951-c2bf-4a67-a037-5be23348a313,a8530c70-384a-4419-9186-a648ec434049,1,1,1,1
UNIDAD EDUCATIVA LUZ Y GUIA/ESCUELA 1 DE MAYO,d0632951-c2bf-4a67-a037-5be23348a313,5af35ef5-a1da-4173-9609-afa90c86018c,1,1,1,1
ESCUELA DE EDUCACION BASICA SANTA ANA DE LOS RIOS,d0632951-c2bf-4a67-a037-5be23348a313,d02cc9e4-0a93-449a-b50d-3925e4334202,1,1,1,1
UNIDAD EDUCATIVA ESTERO PIEDRA,d0632951-c2bf-4a67-a037-5be23348a313,8dac1b06-684d-48c1-8ec0-f5ddf3611423,1,1,1,1
UNIDAD EDUCATIVA ABDON CALDERON/ESCUELA FISCAL MIXTA PRIMERO DE ENERO,d0632951-c2bf-4a67-a037-5be23348a313,25d0fbb9-43ac-4d0b-b0b8-0a4ec0122830,1,1,1,1
UNIDAD EDUCATIVA JOSE ISACC GALARZA CARPIO,d0632951-c2bf-4a67-a037-5be23348a313,7ddcfc6d-a60c-452c-aeee-046f0c0ed2a2,1,1,1,1
UNIDAD EDUCATIVA JESÚS DEL GRAN PODER,d0632951-c2bf-4a67-a037-5be23348a313,7efe66bd-490a-434b-95ca-20418f223f46,1,1,1,1
ESCUELA DE EDUCACION BASICA 19 DE MARZO,d0632951-c2bf-4a67-a037-5be23348a313,1594ef3a-8fef-4e0e-acf1-65de724724ac,1,1,1,1
UNIDAD EDUCATIVA DEL MILENIO MANUELA GARAICOA DE CALDERON AULAS COLEGIO,7c43d25f-fe6f-426a-bbe9-c867ac6c0df1,,1,9,1,9
UNIDAD EDUCATIVA MANUELA GARAICOA DE CALDERON-EDIFICIO ADMINISTRATIVO ESCUELA,7c43d25f-fe6f-426a-bbe9-c867ac6c0df1,,14,17,14,17
UNIDAD EDUCATIVA PARTICULAR COREL,7c43d25f-fe6f-426a-bbe9-c867ac6c0df1,,18,19,18,22
UNIDAD EDUCATIVA DEL MILENIO GARAICOA- COLISEO,7c43d25f-fe6f-426a-bbe9-c867ac6c0df1,,10,13,10,13
UNIDAD EDUCATIVA NULTI- ESCUELA MANUEL RAMON BALAREZO,87420866-8947-4d86-aa35-6a3a26e8b3db,dfe70251-74e7-444d-94b3-9ce94b15e7d1,1,7,1,7
UNIDAD EDUCATIVA FRANCISCO EUGENIO TAMARIZ,87420866-8947-4d86-aa35-6a3a26e8b3db,4e82ee47-253b-484d-9304-2afe301e1a24,1,2,1,2
UNIDAD EDUCATIVA SANTA ROSA/ESCUELA EZEQUIEL MARQUEZ,0906f81a-37fa-48a2-a4f9-1150cf7fb5bd,,1,3,1,4
UNIDAD EDUCATIVA PACCHA- ESCUELA FISCAL MIXTA MANUEL CORONEL,f252dd10-4191-4e3c-8d31-4b90d2228240,,1,6,1,8
UNIDAD EDUCATIVA  MONSEÑOR LEONIDAS PROAÑO II,7843be29-29d9-4093-a9cc-34115efb096b,e9a40202-bb47-47a5-b569-8a2c18ddd080,1,1,1,1
UNIDAD EDUCATIVA DEL MILENIO QUINGEO,7843be29-29d9-4093-a9cc-34115efb096b,8011de1c-9032-417b-a84d-5bf26d45bd57,1,7,1,9
UNIDAD EDUCATIVA AMADEO MALDONADO VAZQUEZ,7843be29-29d9-4093-a9cc-34115efb096b,c3f37579-9579-4a13-b5ad-fa41be26e4a6,1,1,1,1
UNIDAD EDUCATIVA SANTA MARIANITA DE JESUS,10ec0e14-402e-480b-a4e1-2ae05d37a48c,,1,5,1,5
UNIDAD EDUCATIVA OCTAVIO CORDERO PALACIOS/COLEGIO OCTAVIO CORDERO,10ec0e14-402e-480b-a4e1-2ae05d37a48c,,11,11,11,15
UNIDAD EDUCATIVA PARTICULAR DOMINICANA SAN LUIS BELTRAN,10ec0e14-402e-480b-a4e1-2ae05d37a48c,,6,10,6,10
UNIDAD EDUCATIVA FISCOMISIONAL DANIEL HERMIDA,10ec0e14-402e-480b-a4e1-2ae05d37a48c,,12,13,16,17
ESCUELA DE EDUCACIÓN BÁSICA ISAAC A. CHICO,231aa4ce-e2c5-487a-9f16-892efc7126b8,91d9792d-4416-4ec0-baf0-d6adb14f292f,8,16,8,16
ESCUELA EDUCACION GENERAL BASICA ESTADOS UNIDOS DE NORTEAMERICA,231aa4ce-e2c5-487a-9f16-892efc7126b8,91d9792d-4416-4ec0-baf0-d6adb14f292f,1,7,1,7
UNIDAD EDUCATIVA PARTICULAR SUDAMERICANO,231aa4ce-e2c5-487a-9f16-892efc7126b8,91d9792d-4416-4ec0-baf0-d6adb14f292f,17,25,17,28
ESCUELA DE EDUCACION BASICA MANUEL MARIA PALACIO BRAVO,231aa4ce-e2c5-487a-9f16-892efc7126b8,059ca50a-25ef-42f1-8497-ee98daff29a0,1,1,1,1
UNIDAD EDUCATIVA SALESIANAS MARIA AUXILIADORA,4ac9ed2e-cebc-493c-ab60-642fc234a221,,6,15,6,15
UNIDAD EDUCATIVA DOLORES J. TORRES,4ac9ed2e-cebc-493c-ab60-642fc234a221,,1,5,1,5
UNIDAD EDUCATIVA LUISA DE JESUS CORDERO,4ac9ed2e-cebc-493c-ab60-642fc234a221,,16,25,16,25
UNIDAD EDUCATIVA PARTICULAR MISIONEROS OBLATOS-INGRESO CALLE BORRERO,4ac9ed2e-cebc-493c-ab60-642fc234a221,,26,28,26,31
ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES,8aa86df2-9eec-4de8-8de8-05f82cf9f8ed,,17,22,17,22
ESCUELA DE EDUCACION BASICA FISCOMISIONAL SOR TERESA VALSE,8aa86df2-9eec-4de8-8de8-05f82cf9f8ed,,1,7,1,7
ESCUELA DE EDUCACION BASICA LUIS CORDERO CRESPO,8aa86df2-9eec-4de8-8de8-05f82cf9f8ed,,8,16,8,16
UNIDAD EDUCATIVA PARTICULAR CORAZON DE MARIA,8aa86df2-9eec-4de8-8de8-05f82cf9f8ed,,23,25,23,25
