Nombre,Parroquia,Zona,M_Desde,M_Hasta,F_Desde,F_Hasta
ESCUELA DE EDUCACION BASICA IGNACIO ESCANDON,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,d1d7876d-33c9-4cd6-a9d7-8ee96ad8e76e,26,30,26,30
ESCUELA DE EDUCACION BASICA FRANCISCA ARIZAGA TORAL.,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,d1d7876d-33c9-4cd6-a9d7-8ee96ad8e76e,20,25,20,25
UNIDAD EDUCATIVA FRAY VICENTE SOLANO,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,d1d7876d-33c9-4cd6-a9d7-8ee96ad8e76e,31,35,31,35
UNIDAD EDUCATIVA OTTO AROCEMENA GOMEZ,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,d1d7876d-33c9-4cd6-a9d7-8ee96ad8e76e,36,36,36,42
UNIDAD DEL MILENIO FEBRES CORDERO,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,91a2a056-4ef8-44f5-81b9-421be74546fd,1,2,1,2
UNIDAD EDUCATIVA CIUDAD DE CUENCA,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,799d06b3-06fd-42bb-b08c-1999f14863e0,1,2,1,2
UNIDAD EDUCATIVA EL PAN/COLEGIO NACIONAL TECNICO EL PAN,058c1377-33fe-4fe2-99c4-16fc2a2ac2d7,,1,2,1,3
ESCUELA DE EDUCACION BASICA ALFONSO MALO RODRIGUEZ,76270f8d-b3d4-4fc0-b9a6-a8e6a7e8d4f1,e3ec7a19-27e2-493d-b637-92666df05258,1,1,1,1
ESCUELA DE EDUACION BASICA JOSE DOMINGO LAMAR,76270f8d-b3d4-4fc0-b9a6-a8e6a7e8d4f1,23a47422-8a4b-4ede-9da0-131f9ad7d88c,1,1,1,2
CASA COMUNAL,76270f8d-b3d4-4fc0-b9a6-a8e6a7e8d4f1,ee7474e4-ec6c-4b46-8cb0-8bfcc2084ff0,1,1,1,1
UNIDAD EDUCATIVA REMIGIO CRESPO TORAL / COLEGIO REMIGIO CRESPO TORAL,e7a47077-8d21-43cb-bc6f-494792226a9c,e2858a7f-b7c8-4ae9-ac1a-04193f873baf,1,3,1,3
UNIDAD EDUCATIVA BENIGNO JARA,e7a47077-8d21-43cb-bc6f-494792226a9c,cc9b9e1d-8b68-48ef-b2bd-9a9565ad8351,1,1,1,1
UNIDAD EDUCATIVA CIUDAD DE GIRON/COLEGIO CIUDAD DE GIRON,c274fe87-9721-4424-bdd5-71ea82ca27a7,,6,8,6,8
ESCUELA EDUCACION BASICA 27 DE FEBRERO,c274fe87-9721-4424-bdd5-71ea82ca27a7,,1,5,1,5
UNIDAD EDUCATIVA ALEJANDRO ANDRADE CORDERO,c274fe87-9721-4424-bdd5-71ea82ca27a7,,9,12,9,13
ESCUELA DE EDUCACION BASICA AGUSTIN CRESPO HEREDIA,578ee1a4-65e5-4ad6-a6db-7233f1b0a656,,1,1,1,1
CASA COMUNAL DE SACRE/UNIDAD EDUCATIVA FELIPE SERRANO,5b6e1607-55ac-4cc6-83a3-dbeb612aacac,fc35355f-5eff-4939-923f-47ad77c48b59,1,1,1,1
UNIDAD EDUCATIVA GUACHAPALA/ COLEGIO TECNICO GUACHAPALA,5b6e1607-55ac-4cc6-83a3-dbeb612aacac,98451d50-d5a9-4870-8ddd-926d95447a7c,1,4,1,5
ESCUELA DE EDUCACIÓN BÁSICA MARIANO CUEVA,e418bbe4-821d-4c0c-ac94-a422b8717fb3,,1,2,1,2
UNIDAD EDUCATIVA ALFONSO LITUMA/COLEGIO ALFONSO LITUMA CORREA,73ca808e-f1f8-40ac-98aa-786c7edcdaba,e1dad4b8-44db-4e96-8dbd-9ef4f2d17870,12,18,12,18
UNIDAD  EDUCATIVA MIGUEL MALO GONZALEZ,73ca808e-f1f8-40ac-98aa-786c7edcdaba,e1dad4b8-44db-4e96-8dbd-9ef4f2d17870,6,11,6,11
ESCUELA DE EDUCACION BASICA BRASIL,73ca808e-f1f8-40ac-98aa-786c7edcdaba,e1dad4b8-44db-4e96-8dbd-9ef4f2d17870,19,22,19,22
ESCUELA DE EDUCACIÓN BÁSICA MERCEDES DE JESÚS MOLINA,73ca808e-f1f8-40ac-98aa-786c7edcdaba,e1dad4b8-44db-4e96-8dbd-9ef4f2d17870,23,26,23,26
UNIDAD EDUCATIVA SANTO DOMINGO DE GUZMAN,73ca808e-f1f8-40ac-98aa-786c7edcdaba,e1dad4b8-44db-4e96-8dbd-9ef4f2d17870,1,5,1,5
UNIDAD EDUCATIVA GUALACEO,73ca808e-f1f8-40ac-98aa-786c7edcdaba,e1dad4b8-44db-4e96-8dbd-9ef4f2d17870,27,27,27,33
ESCUELA DE EDUCACION BASICA LUIS CORDERO DAVILA,73ca808e-f1f8-40ac-98aa-786c7edcdaba,3b1e0a55-df46-4a5e-be22-297d813c067f,1,1,1,1
ESCUELA DE EDUCACION BASICA TADEO TORRES,54fd1d43-a73b-4049-bcd3-7c32f654bb8b,9ae3e0cc-4953-40b4-a32a-00e7fd7678bf,1,4,1,5
ESCUELA DE EDUCACION BASICA FEDERICO GUERRERO,54fd1d43-a73b-4049-bcd3-7c32f654bb8b,052e6297-3e99-4943-b66c-47f75060e969,1,1,1,1
ESCUELA DE EDUCACION BASICA TERESA MORALES VILLAVICENCIO,54fd1d43-a73b-4049-bcd3-7c32f654bb8b,dc501905-edef-41db-b921-1f37752cf30a,1,1,1,1
ESCUELA DE EDUCACION BASICA REMIGIO ASTUDILLO,66a18c62-df0a-40ce-ad09-8e6452ce8169,,1,1,1,1
UNIDAD EDUCATIVA RIO TOMEBAMBA/COLEGIO NACIONAL RIO TOMEBAMBA,511115a8-4cd7-4f88-9ca2-84bd2954a5c8,cf6c6664-d877-437d-a99a-725af1810755,1,2,1,3
CASA COMUNAL DE CERTAG,511115a8-4cd7-4f88-9ca2-84bd2954a5c8,489c64ef-95cf-45aa-bcc2-b355b1b5f8fc,1,1,1,1
ESCUELA DE EDUCACION BASICA CLUB DE LEONES DE VIRGINIA,0970a6db-db33-49c1-b5ab-72afd2b6c4a9,,1,1,1,1
UNIDAD EDUCATIVA NICANOR AGUILAR MALDONADO,f570db3a-a781-432d-bef4-6ad0fec1aabe,,1,4,1,6
ESCUELA DE EDUCACION BASICA EMILIO MOSCOSO,1665f667-c4c0-49a9-bc1e-04ab788b56f2,,1,1,1,1
UNIDAD EDUCATIVA ZHIDMAD / ESCUELA DE EDUCACIÓN BÁSICA TOMÁS ORDÓÑEZ,fdea62ac-ed45-4af1-854c-db4e581b5ed8,3c2e0e19-7a53-4619-8829-5777ddb9204e,1,3,1,4
ESCUELA DE EDUCACION BASICA JOSE MARIA LOPEZ,fdea62ac-ed45-4af1-854c-db4e581b5ed8,7d122f18-3b37-4de3-99c4-2bed11a15785,1,1,1,1
UNIDAD EDUCATIVA LEON VIVAR/ESCUELA DE EDUCACION BASICA ANDRES BELTRAN,15b871d1-49e6-4291-917d-051c7a60e613,ad28c772-7fdc-49a4-bc02-3476923df9cc,1,3,1,3
ESCUELA DE EDUCACION BASICA MANUEL ULPIANO ARIZAGA,15b871d1-49e6-4291-917d-051c7a60e613,3e4164d1-68f7-49d8-b371-0ffa6e9a96a2,1,1,1,1
UNIDAD EDUCATIVA EL PROGRESO\ENRIQUE ARIZAGA TORAL,8af49ea5-d694-40e0-8572-b3cd0297e650,,1,2,1,2
UNIDAD EDUCATIVA NABON/ ESCUELA DE EDUCACIÓN BÁSICA AGUSTÍN J PERALTA,c5313eb8-e297-4dc8-b23c-9f0102ac48a1,74de02a9-0154-4aed-aa1b-7f584f989cb2,1,7,1,7
UNIDAD EDUCATIVA NABON,c5313eb8-e297-4dc8-b23c-9f0102ac48a1,74de02a9-0154-4aed-aa1b-7f584f989cb2,8,10,8,12
UNIDAD EDUCATIVA BALTAZAR AGUIRRE,c5313eb8-e297-4dc8-b23c-9f0102ac48a1,5b85a3d7-1127-4988-990b-7949b9ea9a21,1,1,1,1
UNIDAD EDUCATIVA FRANCISCO CHICO PACHECO,c5313eb8-e297-4dc8-b23c-9f0102ac48a1,48fabca4-5100-4f9b-aa07-4af6afe70d0e,1,1,1,1
UNIDAD EDUCATIVA COMUNUTARIA INTERCULTURAL BILINGUE /ESCUELA DE EDUCACION INTERCULTURAL BILINGUE BÁSICA CESAR AGUSTIN MOROCHO,c5313eb8-e297-4dc8-b23c-9f0102ac48a1,63272c31-0483-4bae-a367-62b4a3812f19,1,1,1,1
ESCUELA DE EDUCACION BASICA JUAN BAUTISTA DÁVILA,17d6d7bc-ccab-44f6-b28b-9e7ec8da5f47,65d18012-b449-41fa-97a7-e4a3441f58da,1,1,1,1
UNIDAD EDUCATIVA LA PAZ,17d6d7bc-ccab-44f6-b28b-9e7ec8da5f47,fec03d5c-0f38-4923-a727-cddcaea22dad,1,1,1,1
ESCUELA DE EDUCACIÓN BÁSICA EMILIO AREVALO,6376f641-aff9-4042-a3ba-bb2584cde85e,2b7c8f1c-d7ec-4205-9462-8d28979f50f1,1,1,1,1
UNIDAD EDUCATIVA OÑA/ COLEGIO NACIONAL OÑA,6376f641-aff9-4042-a3ba-bb2584cde85e,106e8523-a953-427b-b057-5a789f9c0214,1,4,1,4
UNIDAD EDUCATIVA SUSUDEL/COLEGIO NACIONAL SUSUDEL,6cdd6573-4915-413c-ac20-b9ddba4894f0,,1,1,1,2
ESCUELA DE EDUCACION BASICA HONORATO LOYOLA,9761d962-c508-40bb-b5af-416e4b39567c,,1,2,1,2
ESCUELA DE EDUCACION BASICA MODESTO VINTIMILLA,06ee0a63-5ffe-4472-ad3e-3ced0ab9d247,88d46d4e-b9d6-47ac-8a7c-eac65e548dcc,1,1,1,1
UNIDAD EDUCATIVA MANUEL J CALLE,06ee0a63-5ffe-4472-ad3e-3ced0ab9d247,e49d7e1d-2590-4b09-9f53-ea4e718dc53b,1,2,1,3
CASA COMUNAL LAZUL,2340d1ae-5312-480f-86d5-2fa2178440e2,b632f5fa-462e-464c-b809-22ecfb3bbf84,1,1,1,1
ESCUELA DE EDUCACION BASICA  JOSE DE LA VEGA,2340d1ae-5312-480f-86d5-2fa2178440e2,cd007379-0d52-4632-953a-1aa3fdf92c20,1,1,1,2
UNIDAD EDUCATIVA  ATENAS DEL ECUADOR/ESCUELA ANTONIO VEGA MUNOZ,3f2ce4c4-c4d1-42d8-a744-56d6d83691cf,,1,2,1,3
UNIDAD EDUCATIVA SAN PABLO DE GUARAINAC/COLEGIO LUIS VEGA GARIDO,1df806cc-dbaf-4dc4-8c2e-11231e699c3e,7f2b4d34-74e9-4b14-b550-d2b028f545f4,1,1,1,1
CASA COMUNAL DE JUNTAS,1df806cc-dbaf-4dc4-8c2e-11231e699c3e,62b94922-7cb9-4161-8f5d-b0b28326df0e,1,1,1,1
ESCUELA DE EDUCACIÓN BÁSICA CORNELIO MOSQUERA LOPEZ,9197a3ee-ab8c-4928-964b-2faf8fbb93b2,7a7f2b28-a110-483d-8662-afa271d699dd,1,1,1,1
ESCUELA DE EDUCACION BASICA FRANCISCO  ALVARADO COBOS,9197a3ee-ab8c-4928-964b-2faf8fbb93b2,6f62063b-17a3-4f7c-866f-98c0d5decc21,1,1,1,1
UNIDAD EDUCATIVA 26 DE FEBRERO / ESCUELA SIMÓN BOLIVAR,9197a3ee-ab8c-4928-964b-2faf8fbb93b2,41cc6d26-faf2-42f0-864d-83499e4e1de6,6,12,6,12
ESCUELA DE EDUCACIÓN BÁSICA ISIDRO AYORA,9197a3ee-ab8c-4928-964b-2faf8fbb93b2,41cc6d26-faf2-42f0-864d-83499e4e1de6,1,5,1,5
UNIDAD EDUCATIVA CIUDAD DE PAUTE,9197a3ee-ab8c-4928-964b-2faf8fbb93b2,41cc6d26-faf2-42f0-864d-83499e4e1de6,13,18,13,21
UNIDAD EDUCATIVA PIO BRAVO / ESCUELA DE EDUCACIÓN BÁSICA PIO BRAVO,746b4bb9-2e73-4c8f-8737-9f442f0c5d68,96f9623f-2414-4435-bd0c-3cdf21dbfeb9,1,2,1,3
ESCUELA DE EDUCACIÓN BÁSICA ALBERTO MARÍA ANDRADE,746b4bb9-2e73-4c8f-8737-9f442f0c5d68,b95f28ed-b994-415a-a3aa-3d11e35b4f9d,1,1,1,1
ESCUELA DE EDUCACION BASICA ANTONIO MORALES,0f99a725-fbd7-44e6-80e0-744d80fae080,,1,2,1,2
ESCUELA DE EDUCACION BASICA PELINCAY,c20369ad-b632-418f-8435-f0be2b4a11f6,d67472a4-3b1c-48bc-8f4b-1257c8e2dc3c,1,1,1,1
UNIDAD EDUCATIVA FEDERICO GONZALEZ SUAREZ/ESCUELA DE EDUCACIÓN BÁSICA FEDERICO GONZALEZ SUAREZ,c20369ad-b632-418f-8435-f0be2b4a11f6,1ac402a8-861d-4f11-b87a-4373a1d82abd,1,1,1,1
ESCUELA DE EDUCACION BASICA ALBERTO DURAN CHICA,c20369ad-b632-418f-8435-f0be2b4a11f6,6c3b0536-6ae9-4202-9a4a-e84df5aeb807,1,1,1,1
ESCUELA DE EDUCACIÓN BÁSICA PROVINCIA DEL AZUAY,c20369ad-b632-418f-8435-f0be2b4a11f6,5af719e4-3300-4535-bbc8-2a9713902c8f,1,1,1,1
ESCUELA DE EDUCACIÓN BÁSICA RAMÓN MORALES VALDIVIESO,c20369ad-b632-418f-8435-f0be2b4a11f6,bc73ef0f-8ce8-4ffe-8eb8-21a8e194b5e7,1,1,1,1
UNIDAD EDUCATIVA SARAYUNGA,c20369ad-b632-418f-8435-f0be2b4a11f6,eac6e3c4-5d90-44d3-a614-d3635f7c5366,1,1,1,2
ESCUELA DE EDUCACIÓN BÁSICA GRAMALOTE,c20369ad-b632-418f-8435-f0be2b4a11f6,da6173e8-a958-4813-a83b-f6a4ff311bc9,1,1,1,1
UNIDAD EDUCATIVA PUCARA/ESCUELA JUAN DE VELASCO,c20369ad-b632-418f-8435-f0be2b4a11f6,b1c1e309-0d53-49be-b7ee-e926a90fcb54,1,7,1,7
ESCUELA DE EDUCACION BASICA DR. ALFREDO PEREZ GUERRERO,c20369ad-b632-418f-8435-f0be2b4a11f6,d5d90025-b534-4164-9773-cc6aac020a69,1,1,1,1
UNIDAD EDUCATIVA CORNELIO VELEZ,c20369ad-b632-418f-8435-f0be2b4a11f6,b469acf7-1012-4786-9510-971259d32f74,1,1,1,1
ESCUELA DE EDUCACION BASICA GUARUMAL,9c1d6aee-0576-4b4b-b226-4d1daa09bd99,102194c4-1ff5-47dc-8f04-416dd607531d,1,1,1,1
UNIDAD EDUCATIVA SAN RAFAEL DE SHARUG / ESCUELA FAE,9c1d6aee-0576-4b4b-b226-4d1daa09bd99,3ab51652-06f1-4f15-93b9-899c826a5a9d,1,2,1,2
ESCUELA DE EDUCACION BASICA VICTOR ALVAREZ TORRES,06d6b1da-3ac6-4db3-9f22-8f2051079192,,1,1,1,1
ESCUELA DE EDUCACION BASICA JUAN GIRON SANCHEZ,87610f35-aae2-4312-a1c3-a946bf44557d,,1,4,1,5
UNIDAD EDUCATIVA JAIME ROLDOS AGUILERA/COLEGIO JAIME ROLDOS AGUILERA,ad9bf350-e51b-4562-acb9-b383933d55fb,,1,4,1,4
ESCUELA DE EDUCACIÓN GENERAL BASICA EMILIANO HINOSTROZA,c0eaf215-b1e4-439b-8368-0f166590327a,,1,1,1,1
UNIDAD EDUCATIVA SANTA ISABEL/COLEGIO SANTA ISABEL,b9ed501d-16fa-4e34-bad3-617614a0d27e,34733b25-0cea-4505-9f48-782822454993,6,11,6,11
ESCUELA DE EDUCACIÓN BÁSICA FERNANDO DE ARAGÓN,b9ed501d-16fa-4e34-bad3-617614a0d27e,34733b25-0cea-4505-9f48-782822454993,1,5,1,5
ESCUELA DE EDUCACION BASICA VEINTE DE ENERO,b9ed501d-16fa-4e34-bad3-617614a0d27e,34733b25-0cea-4505-9f48-782822454993,12,15,12,15
UNIDAD EDUCATIVA LA IMACULADA,b9ed501d-16fa-4e34-bad3-617614a0d27e,34733b25-0cea-4505-9f48-782822454993,16,16,16,18
ESCUELA DE EDUCACION BASICA RAFAEL VINTIMILLA JARA,b9ed501d-16fa-4e34-bad3-617614a0d27e,88ba3705-a42e-4abd-9753-61f2bfd71b93,1,1,1,1
UNIDAD EDUCATIVA SAN ALFONSO DE PUCULCAY,a22a6e84-6ef7-4192-a15d-645d9abed691,b1cd0b6f-6f66-4756-b612-0ab974ca5ba8,1,1,1,1
ESCUELA BENJAMÍN CARRIÓN,a22a6e84-6ef7-4192-a15d-645d9abed691,db614e92-2924-4947-860d-7e4f64412d53,1,1,1,1
UNIDAD EDUCATIVA SAN PEDRO DE SHAGLLI/ESCUELA PEDRO UNDA,a22a6e84-6ef7-4192-a15d-645d9abed691,390729b1-2765-47cc-a642-2f544c80c985,1,2,1,2
CASA COMUNAL DE SANTA RITA/ESCUELA RAFAEL LARRIVA CUESTA,beb1efa4-2048-438e-b5da-ddd57d9b52f9,2b0f771a-4dc8-47b3-9a05-d02e09df1d68,1,1,1,1
UNIDAD EDUCATIVA JUVENTINO VELEZ\ESCUELA JUVENTINO VELEZ,beb1efa4-2048-438e-b5da-ddd57d9b52f9,853dcd70-fc01-4610-abd5-de5627ef8dc2,1,1,1,1
ESCUELA DOLORES GOMEZ LEÓN,fb198ad9-5896-4bca-be44-80de3ef4659f,6b513de5-07de-4527-aa15-6dc8d1cd2806,1,1,1,1
CASA COMUNAL DE SANTA ROSA,fb198ad9-5896-4bca-be44-80de3ef4659f,3083da01-3201-4c6c-9e70-1b4b67bf9591,1,1,1,1
UNIDAD EDUCATIVA LAS PALMAS / COLEGIO NACIONAL TÉCNICO LAS PALMAS,fb198ad9-5896-4bca-be44-80de3ef4659f,9e502d21-43e1-49f8-9a02-88d2a98d8312,1,3,1,3
ESCUELA DE EDUCACIÓN BASICA PADRE ALBINO DEL CURTO,bf57ee29-8c30-4ea0-8707-181571a90784,772eca84-d866-48f8-b307-7d5092af10c0,1,1,1,1
CASA COMUNAL DE CAIGUAS/ESCUELA MAX  PALACIOS,bf57ee29-8c30-4ea0-8707-181571a90784,37ea9688-aae5-434a-9f3f-62baafd0058d,1,1,1,1
UNIDAD EDUCATIVA SEVILLA DE ORO/COLEGIO ALFONSO MORENO MORA,bf57ee29-8c30-4ea0-8707-181571a90784,38b74d2b-2329-43f7-a91a-b5b9dcb6c0dc,1,3,1,3
ESCUELA DE EDUCACIÓN BÁSICA ERNESTO LOPEZ,94ce8309-3e58-4718-b4b9-86d468864043,,1,2,1,2
UNIDAD EDUCATIVA JIMA/ ESCUELA DE EDUCACION BASICA REMIGIO ESTEVEZ DE TORAL,648f3077-0d3d-4fe5-a406-fefb5c4e003a,,1,4,1,5
ESCUELA DE EDUCACION BASICA JOSE FELIX GONZALEZ,1e10a801-583d-4107-b396-07f0d8e58a7a,,1,1,1,2
ESCUELA DE EDUCACION BASICA LUIS BENIGNO TORRES,818cb734-599a-4b0b-af7d-ba35044726a7,7aad1c63-9bdc-4733-8de0-b186a9c414be,1,1,1,1
ESCUELA DE EDUCACION BASICA MANUEL J. SALCEDO,818cb734-599a-4b0b-af7d-ba35044726a7,7736fed3-5c53-4e95-97a3-274a7d4a61a4,1,1,1,1
CASA COMUNAL DE SERRAG,818cb734-599a-4b0b-af7d-ba35044726a7,e16e3517-97cc-498f-9e33-61d1b0d058e2,1,1,1,1
UNIDAD EDUCATIVA AGUSTIN IGLESIAS/ESCUELA AGUSTÍN IGLESIAS,818cb734-599a-4b0b-af7d-ba35044726a7,a2ca0809-10fa-42f5-9a00-2de682827224,1,3,1,4
UNIDAD EDUCATIVA JUAN BAUTISTA VASQUEZ,ee936bb7-bf11-4bf9-b384-8a0530a9a6fa,dad33f51-4764-4083-9823-3fc404df4399,1,1,1,1
CASA COMUNA  / EX ESCUELA DE EDUCACION BASICA EDMUNDO MALDONADO,ee936bb7-bf11-4bf9-b384-8a0530a9a6fa,1e45a4af-2057-4208-86ae-c4bcda51562e,1,1,1,1
UNIDAD EDUCATIVA SAN BARTOLOMÉ / ESCUELA MIGUEL MORENO,ee936bb7-bf11-4bf9-b384-8a0530a9a6fa,65acc160-8937-4dba-9cbe-1e8ce6aefc35,1,3,1,5
ESCUELA DE EDUCACIÓN BÁSICA 5 DE NOVIEMBRE,4644bd7c-1bff-44af-8111-6a900cc0f432,627a2018-0907-4b6b-bde7-72eefbcf54f4,1,1,1,1
UNIDAD EDUCATIVA SAN JOSE DE RARANGA / ESCUELA ISAAC MARIA PEÑA,4644bd7c-1bff-44af-8111-6a900cc0f432,340ffd51-998f-4844-90ab-83b13d0c5ba6,1,2,1,3
ESCUELA DE EDUCACIÓN BÁSICA CARMEN ADELA CARDENAS,f46261c6-bcb5-41de-86b4-e1abb21c9742,3c8e5490-6d68-4ba9-ab69-e7e3293ff5e4,1,1,1,1
ESCUELA DE EDUCACIÓN BÁSICA DOMINGO SAVIO,f46261c6-bcb5-41de-86b4-e1abb21c9742,acb7bf16-bf7f-4d0f-84ef-15feb3c7f7e5,1,5,1,5
UNIDAD EDUCATIVA SIGSIG,f46261c6-bcb5-41de-86b4-e1abb21c9742,acb7bf16-bf7f-4d0f-84ef-15feb3c7f7e5,6,12,6,12
UNIDAD EDUCATIVA FISCOMISIONAL MARIA MAZZARELLO,f46261c6-bcb5-41de-86b4-e1abb21c9742,acb7bf16-bf7f-4d0f-84ef-15feb3c7f7e5,13,13,13,17
